58 2 0 6 33 6 8 0 6 14 22 4409 160 0 477 33 6 8 0 432 1074 1642 57 2 0 6 33 6 8 0 6 14 22 10231 342 0 1055 33 6 8 0 854 1992 3680
35 1 0 4 31 7 8 0 4 7 17 2721 108 0 320 31 7 8 0 288 681 1345 35 1 0 4 31 7 8 0 4 7 18 6011 226 0 689 31 7 8 0 734 1334 3138
35 1 0 3 30 8 7 0 3 5 17 2721 85 0 293 30 8 7 0 244 424 1327 35 1 0 3 30 8 7 0 3 6 15 6011 177 0 628 30 8 7 0 513 827 2369
39 1 0 4 28 8 7 0 2 5 17 3004 88 0 326 28 8 7 0 242 388 1327 39 1 0 4 28 9 7 0 3 5 15 7627 186 0 736 28 9 7 0 504 904 2369
49 1 0 5 25 10 6 0 2 5 14 3727 91 0 393 25 10 6 0 173 417 1052 49 1 0 5 25 10 6 0 2 5 14 8379 204 0 926 25 10 6 0 378 915 3135
49 1 0 5 24 10 7 0 3 7 17 3727 100 0 423 24 10 7 0 242 522 1382 49 1 0 5 24 10 7 0 3 7 18 8379 225 0 981 24 10 7 0 383 1054 3135
49 1 0 5 23 11 8 0 3 7 18 3727 102 0 425 23 11 8 0 244 522 1384 49 1 0 5 23 11 8 0 3 7 18 8379 236 0 988 23 11 8 0 504 1054 3058
49 1 0 5 24 10 12 0 3 7 18 3727 111 0 433 24 10 12 0 261 567 1516 49 1 0 5 24 10 12 0 3 8 18 8379 258 0 1005 24 10 12 0 570 1241 3123
49 1 0 5 21 12 16 0 3 6 18 3727 94 0 396 21 12 16 0 231 462 1384 49 1 0 4 21 12 16 0 3 6 14 8379 219 0 906 21 12 16 0 523 1005 3058
44 0 0 3 18 14 18 0 1 4 9 3568 64 0 298 18 14 18 0 92 325 696 43 0 0 3 18 14 18 0 1 4 10 7522 150 0 677 18 14 18 0 247 798 1941
28 0 0 2 17 15 19 0 1 4 7 2143 46 0 205 17 15 19 0 74 304 567 28 0 0 2 17 15 19 0 1 4 8 5779 112 0 498 17 15 19 0 121 711 1282
28 0 0 3 18 14 15 0 1 4 14 2190 65 0 268 18 14 15 0 86 351 1087 28 0 0 3 16 16 16 0 1 5 14 5779 146 0 608 16 16 16 0 220 933 2111
28 0 0 3 19 13 16 0 1 4 14 2190 61 0 269 19 13 16 0 75 305 1087 28 0 0 3 17 15 17 0 1 4 14 5779 136 0 619 17 15 17 0 121 851 2111
28 0 0 3 19 13 17 0 1 4 14 2190 62 0 269 19 13 17 0 75 305 1087 28 0 0 3 17 15 17 0 1 4 14 5779 137 0 619 17 15 17 0 121 851 2111
27 0 0 3 18 14 17 0 1 4 12 2190 56 0 241 18 14 17 0 86 300 923 27 0 0 3 16 16 18 0 1 4 12 5392 120 0 530 16 16 18 0 170 676 1848
27 0 0 2 18 14 19 0 1 3 9 2190 51 0 235 18 14 19 0 74 244 800 27 0 0 2 16 16 20 0 1 3 9 5392 108 0 512 16 16 20 0 119 521 1580
21 0 0 1 18 15 17 0 0 2 4 1746 30 0 151 18 15 17 0 0 164 310 21 0 0 1 18 15 17 0 0 2 4 4164 64 0 328 18 15 17 0 0 376 643
19 0 0 1 17 16 18 0 0 2 4 1515 26 0 123 17 16 18 0 0 158 355 16 0 0 1 17 16 18 0 0 2 5 2463 58 0 264 17 16 18 0 0 376 721
33 0 0 2 21 12 13 0 1 3 6 2496 44 0 202 21 12 13 0 86 246 473 27 0 0 2 21 12 13 0 1 3 7 4083 95 0 385 21 12 13 0 189 562 1397
90 1 0 7 26 9 9 0 3 8 31 6790 146 0 608 26 9 9 0 246 699 2335 94 1 0 8 26 9 9 0 3 8 27 16118 319 0 1354 26 9 9 0 544 1577 4103
90 2 0 8 29 8 7 0 5 11 31 6790 173 0 626 29 8 7 0 365 879 2403 94 2 0 8 29 8 7 0 5 11 30 16118 376 0 1405 29 8 7 0 727 1965 5115
90 2 0 8 26 8 8 0 6 12 33 6790 198 0 692 26 8 8 0 461 972 2505 94 2 0 9 26 8 8 0 6 12 31 16118 436 0 1565 26 8 8 0 1147 2133 6355
90 2 0 8 30 7 7 1 6 12 33 6790 202 0 692 30 7 7 71 523 972 2505 94 2 0 9 30 7 7 1 6 12 31 16118 441 0 1563 30 7 7 98 1180 2116 6355
90 2 0 8 32 6 6 1 8 12 31 6790 217 0 690 32 6 6 84 611 973 2413 94 2 0 9 32 6 6 1 8 12 31 16118 479 0 1581 32 6 6 215 1391 2225 6355
65 1 0 5 31 7 6 0 5 10 14 5178 127 0 410 31 7 6 0 395 786 1126 65 1 0 5 30 7 7 0 5 10 14 11912 278 0 953 30 7 7 0 723 1629 2216
65 1 0 4 31 7 7 0 4 8 13 5178 108 0 383 31 7 7 0 300 656 985 65 1 0 4 30 7 7 0 4 8 13 11912 236 0 879 30 7 7 0 643 1520 2214
23 1 0 2 34 6 6 0 3 6 12 1860 81 0 224 34 6 6 0 255 485 943 23 0 0 2 33 7 6 0 3 6 12 4919 172 0 506 33 7 6 0 544 1081 1903
